"Date/Time", "Heart Rate (bpm)"
"May 25, 2026 at 18:00:04", 98
"May 25, 2026 at 18:00:05", 102
"May 25, 2026 at 18:00:05", 102
"May 25, 2026 at 18:00:06", 102
"May 25, 2026 at 18:00:07", 105
"May 25, 2026 at 18:00:09", 105
"May 25, 2026 at 18:00:10", 106
"May 25, 2026 at 18:00:11", 107
"May 25, 2026 at 18:00:11", 107
"May 25, 2026 at 18:00:12", 107
"May 25, 2026 at 18:00:13", 106
"May 25, 2026 at 18:00:15", 104
"May 25, 2026 at 18:00:16", 103
"May 25, 2026 at 18:00:17", 102
"May 25, 2026 at 18:00:17", 101
"May 25, 2026 at 18:00:18", 101
"May 25, 2026 at 18:00:19", 100
"May 25, 2026 at 18:00:21", 99
"May 25, 2026 at 18:00:22", 99
"May 25, 2026 at 18:00:23", 98
"May 25, 2026 at 18:00:24", 100
"May 25, 2026 at 18:00:24", 100
"May 25, 2026 at 18:00:25", 99
"May 25, 2026 at 18:00:27", 100
"May 25, 2026 at 18:00:28", 99
"May 25, 2026 at 18:00:29", 100
"May 25, 2026 at 18:00:29", 100
"May 25, 2026 at 18:00:30", 102
"May 25, 2026 at 18:00:31", 103
"May 25, 2026 at 18:00:33", 103
"May 25, 2026 at 18:00:34", 103
"May 25, 2026 at 18:00:35", 103
"May 25, 2026 at 18:00:35", 103
"May 25, 2026 at 18:00:36", 102
"May 25, 2026 at 18:00:38", 102
"May 25, 2026 at 18:00:39", 101
"May 25, 2026 at 18:00:40", 100
"May 25, 2026 at 18:00:41", 99
"May 25, 2026 at 18:00:41", 98
"May 25, 2026 at 18:00:42", 98
"May 25, 2026 at 18:00:44", 98
"May 25, 2026 at 18:00:45", 98
"May 25, 2026 at 18:00:46", 98
"May 25, 2026 at 18:00:47", 98
"May 25, 2026 at 18:00:47", 99
"May 25, 2026 at 18:00:48", 100
"May 25, 2026 at 18:00:50", 100
"May 25, 2026 at 18:00:51", 101
"May 25, 2026 at 18:00:52", 102
"May 25, 2026 at 18:00:53", 102
"May 25, 2026 at 18:00:53", 102
"May 25, 2026 at 18:00:54", 102
"May 25, 2026 at 18:00:56", 104
"May 25, 2026 at 18:00:57", 104
"May 25, 2026 at 18:00:58", 104
"May 25, 2026 at 18:00:59", 103
"May 25, 2026 at 18:00:59", 103
"May 25, 2026 at 18:01:00", 103
"May 25, 2026 at 18:01:02", 103
"May 25, 2026 at 18:01:03", 102
"May 25, 2026 at 18:01:04", 102
"May 25, 2026 at 18:01:05", 102
"May 25, 2026 at 18:01:05", 104
"May 25, 2026 at 18:01:06", 105
"May 25, 2026 at 18:01:08", 105
"May 25, 2026 at 18:01:09", 107
"May 25, 2026 at 18:01:10", 109
"May 25, 2026 at 18:01:11", 110
"May 25, 2026 at 18:01:11", 110
"May 25, 2026 at 18:01:12", 110
"May 25, 2026 at 18:01:14", 110
"May 25, 2026 at 18:01:15", 109
"May 25, 2026 at 18:01:16", 109
"May 25, 2026 at 18:01:17", 108
"May 25, 2026 at 18:01:17", 108
"May 25, 2026 at 18:01:18", 109
"May 25, 2026 at 18:01:20", 109
"May 25, 2026 at 18:01:21", 109
"May 25, 2026 at 18:01:22", 109
"May 25, 2026 at 18:01:23", 110
"May 25, 2026 at 18:01:23", 110
"May 25, 2026 at 18:01:25", 108
"May 25, 2026 at 18:01:26", 106
"May 25, 2026 at 18:01:27", 104
"May 25, 2026 at 18:01:28", 104
"May 25, 2026 at 18:01:29", 103
"May 25, 2026 at 18:01:29", 101
"May 25, 2026 at 18:01:31", 101
"May 25, 2026 at 18:01:32", 101
"May 25, 2026 at 18:01:33", 101
"May 25, 2026 at 18:01:34", 100
"May 25, 2026 at 18:01:35", 100
"May 25, 2026 at 18:01:35", 100
"May 25, 2026 at 18:01:37", 100
"May 25, 2026 at 18:01:38", 100
"May 25, 2026 at 18:01:39", 100
"May 25, 2026 at 18:01:40", 100
"May 25, 2026 at 18:01:41", 100
"May 25, 2026 at 18:01:41", 99
